id,specimen_id,label,note
ex:rf130,Refshale-130,"Refshale, Skeleton 130","Burial 130, Refshale graveyard, Maribo district, Lolland. Rural site. Completely preserved adult female."
ex:sk90,St. Albani-90,"St. Albani, Skeleton 90","Burial 90, St. Albani churchyard, Odense (Funen), urban site. Male, good state of preservation."
ex:sk89,St. Albani-89,"St. Albani, Skeleton 89","Burial 89, St. Albani churchyard, Odense (Funen). Urban site. Postcranial skeleton only, which made ageing and sexing difficult; most likely an adult female."
ex:sk94,St. Albani-94,"St. Albani, Skeleton 94","Burial 94, St. Albani churchyard, Odense (Funen). Urban site. Male, mid-adult."
ex:tp292,Tirup-292,"Tirup, Skeleton 292","Burial 292, Tirup cemetery, near Horsens (Jutland). Rural site. Female, early adult. One of only 79 individuals examined at Tirup and the only one selected for this study."
